Date,Date1,Close Price,Average Price
17-Nov-20,387,14.65,14.62
18-Nov-20,388,14.7,14.64
19-Nov-20,389,14.25,14.43
20-Nov-20,390,14.55,14.42
23-Nov-20,391,14.55,14.64
24-Nov-20,392,14.7,14.64
25-Nov-20,393,14.15,14.28
26-Nov-20,394,14.1,14.04
27-Nov-20,395,14.7,14.6
01-Dec-20,396,15.4,15.38
02-Dec-20,397,15.45,15.35
03-Dec-20,398,15.45,15.5
04-Dec-20,399,15.35,15.31
07-Dec-20,400,15.75,15.66
08-Dec-20,401,17.3,17.01
09-Dec-20,402,19,18.85
10-Dec-20,403,20.45,20.03
11-Dec-20,404,19.45,19.85
14-Dec-20,405,18.5,18.64
15-Dec-20,406,18.3,17.91
16-Dec-20,407,18.85,18.86
17-Dec-20,408,18.25,18.43
18-Dec-20,409,18.9,18.29
21-Dec-20,410,18,18.38
22-Dec-20,411,17.3,17.21
23-Dec-20,412,17.6,17.45
24-Dec-20,413,17.55,17.59
28-Dec-20,414,17.8,17.83
29-Dec-20,415,17.75,17.75
30-Dec-20,416,17.75,17.65
31-Dec-20,417,17.85,17.87
01-Jan-21,418,18,18.13
04-Jan-21,419,18,18.14
05-Jan-21,420,18,17.99
06-Jan-21,421,18,18.12
07-Jan-21,422,18,18.05
08-Jan-21,423,18.05,18.02
11-Jan-21,424,17.95,18.04
12-Jan-21,425,18.05,18.11
13-Jan-21,426,17.8,17.85
14-Jan-21,427,17.85,17.85
15-Jan-21,428,17.6,17.61
18-Jan-21,429,17.7,17.76
19-Jan-21,430,17.9,17.83
20-Jan-21,431,17.65,17.66
21-Jan-21,432,17.25,17.51
22-Jan-21,433,17,17.07
25-Jan-21,434,16.35,16.62
27-Jan-21,435,15.75,15.85
28-Jan-21,436,15.05,15.16
29-Jan-21,437,15.75,15.52
01-Feb-21,438,16.4,16.02
02-Feb-21,439,16.55,16.48
03-Feb-21,440,16.25,16.42
04-Feb-21,441,16.2,16.29
05-Feb-21,442,16.9,17
08-Feb-21,443,17.05,17.1
09-Feb-21,444,16.65,16.82
10-Feb-21,445,16.4,16.43
11-Feb-21,446,16.5,16.52
12-Feb-21,447,16.4,16.44
15-Feb-21,448,16.25,16.32
16-Feb-21,449,16.05,16.06
17-Feb-21,450,15.9,15.9
18-Feb-21,451,16.15,16.13
19-Feb-21,452,15.95,16.08
22-Feb-21,453,15.6,15.7
23-Feb-21,454,15.6,15.63
24-Feb-21,455,16.1,16.09
25-Feb-21,456,16.1,16.17
26-Feb-21,457,15.75,15.78
01-Mar-21,458,16.3,16.35
02-Mar-21,459,16.3,16.39
03-Mar-21,460,16.35,16.41
04-Mar-21,461,16.6,16.49
05-Mar-21,462,16.35,16.59
08-Mar-21,463,16.25,16.45
09-Mar-21,464,16.05,16.12
10-Mar-21,465,16.05,16.07
12-Mar-21,466,15.9,16.02
15-Mar-21,467,15.65,15.59
16-Mar-21,468,15.45,15.51
17-Mar-21,469,15.1,15.18
18-Mar-21,470,14.9,15
19-Mar-21,471,14.95,14.65
22-Mar-21,472,14.85,14.91
23-Mar-21,473,14.9,14.9
24-Mar-21,474,14.65,14.77
25-Mar-21,475,14.2,14.26
26-Mar-21,476,14.05,14.25
30-Mar-21,477,16.3,15.87
31-Mar-21,478,15.6,15.82
01-Apr-21,479,15.7,15.64
05-Apr-21,480,15.5,15.54
06-Apr-21,481,15.6,15.65
07-Apr-21,482,15.6,15.59
08-Apr-21,483,15.55,15.6
09-Apr-21,484,15.45,15.52
12-Apr-21,485,14.45,14.67
13-Apr-21,486,14.7,14.59
15-Apr-21,487,14.55,14.5
16-Apr-21,488,14.6,14.63
19-Apr-21,489,14.2,14.17
20-Apr-21,490,14.05,14.15
22-Apr-21,491,14.05,14.07
23-Apr-21,492,14,14.04
26-Apr-21,493,14.05,14.1
